,kata,sentimen
93,ga perlu pusing kalau saldo gopay sekarat bisa isi ulang kapan di atm internet banking mobile banking loket ppob ocbcnisp dekat bankocbcnisp gojekindonesia tipsprima,1
94,waahh kerennn,1
95,terimakasih gojekindonesia saldo yg hilang sdh,1
96,mantap gojekindonesia jangan lupa tetap bahagiakanmitragojek,1
97,gojekindonesia min kasih bonus buat mas https twitter com ryan nus status,1
98,berkat voucher gofood makan nasi telor melulu thx gojekindonesia,1
99,twitter please do your magic gojekindonesia gojektech infodepoknews askmenfess tanyarl,1
100,aplikasi pake grabid yg gendong gojekindonesia gograb https twitter com roykiyosi status,1
101,driver jempol nih cc gojekindonesia https twitter com ryan nus status,1
102,sama sama,1
103,yoiiiii rb cashbacknya,1
104,oke min,1
105,pastiadajalan banget min kalau pake motor gesits,1
106,hi we are happy to help solve your question hopefully paylater is useful and becomes an option for payment when placing an order thanks krn,1
107,eh salah mention gojekindonesia wkwkwk,1
108,hai kak senang bantu kakak moga paylater manfaat jadi pilih bayar saat laku mesan tks krn,1
109,dear gojekindonesia nih mas dwi kasih apresiasi donk,1
110,tetap santuy gojekindonesia pic twitter com xzdvilgops puncak langkisaupainan,1
111,thankyou jelas,1
112,wow,1
113,hai isti kece pesan layan gobox sila buka menu gobox lebih kemudian pilih tanda jam belah kanan atas terima kasih yun,1
114,oke deh gan,1
115,hai terima kasih atas feedback yg beri akan terus tim untuk tingkat layan gojek ke depan alami kendala yg sama sila segera informasi detail order lalu dm yun,1
116,gojekindonesia kami butuh go santet sekarang,1
117,sudah min di logout login,1
118,direktur angkut jalan ditjen hubung darat kemenhub ahmad yani tegas atur wajib patuh semua aplikator sedia layan ojek online gojekindonesia gojekjam ojol ojekonline,1
119,menteri hubung kemenhub terap tarif baru ojek online ojol seluruh wilayah ri mulai senin terap sebut nyata hanya laku dua aplikator besar grab gojek ojol gojekindonesia,1
120,terima kasih admin,1
121,sesuai aplikasi pak gojekindonesia,1
122,mimin gojek please do ur magic,1
123,makasih,1
124,jauh sy tuju dgn arah kembang topik yg bicara,1
125,hai kevin kami informasi history mesan dapat laku hapus terima kasih yun,1
126,admin gojekindonesia yg ganteng sy ken tanya mitra kemudi gojek baru yg blum terima sms ambil atribut bagaimana padahal sdh bln narik atribut makasih love you,1
127,bantu tag gojekindonesia,1
128,tambah semangat teman driver grabtaxiid gojekindonesia semua moga limpah rejekinya malam aamiin jakartatangerang hiburanrakyat sabtuagustus bismillahalhamdulillah kampus unija https www instagram com p bcqcwpgfg igshid qonqujxtepni,1
129,ah bagus trm ksh min jauh oke biar tertib rapi gojekindonesia grabid mnt tlg edukasi driver turun sesuai lokasi terima kasih https twitter com mrtjakarta status,1
130,gojekindonesia help meee,1
131,contoh traktir temen ditag,1
132,pesan makan gojekindonesia sen minum grabid siipp,1
133,bapa banyakin amal syapatau dosa bapa segera ampun,1
134,hai wendy sila kirim email driversupport gojek com info lebih lanjut tks yun,1
135,kereeen sih gojekindonesia gojekjam https twitter com faktaojol status,1
136,hai kak dari findaya partner gojek tangan paylater info kakak dpt laku bayar kapan atau jatuh tempo jika kakak lambat dlm laku bayar paylater beku waktu ada lunas tks krn,1
137,amazon amazon is interested to make investment to gojekindonesia gojek https twitter com businessinsider status,1
138,terima kasih gojekindonesia tingkat perekenomian balikpapan pic twitter com spzlbrzx,1
139,naik semua naik aja asiiiiikkk,1
140,please do your magic,1
141,hai beti keluh sedang ditindaklanjuti tim dengan nomor lapor mohon tunggu proses terima kasih yun,1
142,ga ngerti gue cinta banget sama gojekindonesia banyaaaak diskon nyaaaaa,1
143,mantap lah gojek,1
144,hai alvin sangat senang terima kritik saran anda dapat bantu dalam jaga kualitas layan informasi anda ikan ke team kami bagai baik ke depan terima kasih yun,1
145,keren kemaren nongkrong bareng sama richbrian skarang kopdar bareng sama mr luhut,1
146,seru banget tadi pagi konvoi bareng menteri naik motor listrik pastiadajalan buat nyiptain dampak sosial yg positif segala bidang masuk lingkung moga kendara listrik segera laksana indonesia bersih udara hemat energi pic twitter com aclntchd,1
147,huhu neng bgt makasih gojekindonesia poconggg https twitter com hattamaulana status,1
148,tq gojekindonesia sering sering bikin promo y aku sering mondarmandir naik gojek https twitter com joshuaeas status,1
149,gojekindonesia hallo gojek,1
150,punyaa dong mas dm yaa,1
151,bk whooper cburger cm rb aja tengs gojekindonesia pic twitter com eojmgqta,1
152,mau nambahin lg tp cape krn terlalu banyak bahagia krn gojek bulan tuh maturnuwun gojekindonesia golifeindonesia gopayindonesia,1
153,nyelesaiin misi dpt gopay lalu rbnya ku pake buat godaily beli aer galon jd cuma ngeluarin kocek besar subhanallah dah syukur bgt ampun trs beli koin webtoon cashback kl bayar pake gopay huhuuu gilaa ga sii gojekindonesia golifeindonesia pic twitter com ofxnwsou,1
154,sueeneeeng pol sm gojekindonesia golifeindonesia bagai anak kos yg suka ngehemat aku neng bgt sm gojek bulan x jalan cuma rb x mesen makan dpt potong rb cuma harga rb mesen goauto dpt potong jd cuma bayar rb huaaa bahagia pic twitter com vmacrlwfp,1
155,sikat lah gojekindonesia,1
156,kalau mudah pilih yang susah umkm jogja makin istimewa sama gojekindonesia gojek gofood goumkm gofoodinaja gojekindonesia jogjaistimewa pic twitter com ncrjlccqv,1
157,emang holy grail banget buat anak kos macam akutu makasih gojekindonesia pic twitter com cfmkj,1
158,thank you,1
159,sekarang enak apa apa beli pakai online lapar tiap haus tiap ada solusi cepat semua orang jadi usaha aplikasi online banyak bantu umkm kembang usaha jogja istimewa sama gojekindonesia pic twitter com uqdbzszlc,1
160,senang belanja sociolla id diskon k minimum belanja k terus bayar pakai gopay gojekindonesia cashback k kan hemat bangettt pic twitter com scknhnshi,1
161,hai hida di informasi nomor tlp email email alas lalu dm terima kasih yni,1
162,nama shamsubahrin ismail viral bagai media massa indonesia kait nyata kena gojekindonesia usaha malaysia milik gudang alam antara bisnis terna sapi halal ecommerce hingga pernah libat kasus hukum https katadata co id berita bostaksimalaysiarivalgojekberbisnisternakhinggaecommerce,1
163,ikut dukung tarif ojol naik perintah kalo perlu lebih tinggi ojek pangkal saing minimal soal tarif,1
164,kalau bingung mau amal mana coba manfaatin fitur gogivenya gojekindonesia sungguh sangat bantu,1
165,ayo min grabid gojekindonesia,1
166,driver ojol jg siap antar baik customer gojekindonesia pic twitter com edtuvqzi,1
167,ku harap thread guma kalian masih sering tanggap sampah plastik sepele ayok tetap jaga lingkung aku harap gojekindonesia grabid baca thread,1
168,begini grabid gojekindonesia ojol laen jaga lingkung sih ojol turut ojol rupa salah satu tempat paling bagus kampanye kan cinta lingkung sadar guna sekitar jaga lingkung,1
169,halo grabid gojekindonesia semua ojol ada indonesia thread bukan beri tips thread cerita alam horor ojol thread buat owner ojol ajak kalian promosiin cinta lingkung saran saya bukan maksud guru,1
170,rejeki jabang bayi,1
171,terimakasih gojekindonesia sy makan burger siang pic twitter com umlfpkqf,1
172,gojekindonesia selamat mlm minggu link voucher gofood donk buat traktir gebetan,1
173,makaciw bell,1
174,beda gojekindonesia gofood grabid grabfood lampung order driver gofood selalu telpon no ponsel pasti pesan tanya tuju antar sedan driver grabfood pasti pesan lalu aplikasi grab tidak tanya tuju antar,1
175,hai kak rika kami informasi lalu dm terima kasih krn,1
176,lupa tag gojek thankyou neng,1
177,hallo gojekindonesia apa gofood seoul,1
178,saya dm terima kasih,1
179,sila dm ya terima kasih yun,1
180,marketing yg hebat,1
181,gilaa auto ngangkot everyday,1
182,jujur kalo mama capek bangun pagi masakin terus nyiapin bekel buat aku sih kaleeeee aku lebih pilih gofood mau apakek bekel homemade food is always the best gojekindonesia,1
183,seems like ovo id error top up gak masuk saldo gak liat gak order grabid tokopediacare alih gojekindonesia bukalapak aja dulu ah hidup pilih,1
184,wadu nikmat gofood promo mulu gojekindonesia,1
185,asal banyak promonya gpp,1
186,gais buat kalian semua yg mager wiken tapi ken bgt makan chicagodepok kalian gofoodinaja aplikasi gojekindonesia kulinerdepok kulinerjakarta jagonyaayamgoreng pic twitter com ptenccae,1
187,oke ikut daftar jd ojol ah,1
188,gojekindonesia hai bantu aku min,1
189,hai di informasi nomor order lalu dm terima kasih yni,1
190,udah maki semalem tp minta bintang dulu,1
191,gojekindonesia,1
192,gopoints pernah dipake sejak gabung tahun lalu sengaja dikumpulin krn genah jumlah sekarang gopoints hampir punah lagi dong gojekindonesia gopointsnya dgn hadiah yg tarik bukan free ride kaos gojek doang,1
193,gojekindonesia bantu pak kasi,1
194,gojekindonesia bantu min,1
195,terima kasih gojekindonesia berkat kamu aku yg anak kos makan enak harus bayar mahal sering vouchernya pic twitter com nmnnrusglv,1
196,mas banyak driver kurang ajar ga ngechat apa pas chat ga ngebales diapain enak biar jera driver kek gin gojekindonesia,1
197,gimana akun gojek ibu tbtb gak daftar kemarin log in gak tbtb skrg coba log in gak daftar akun ada saldo gopay lumayan banyak udh telepon cs tp cs malah nyolot gak bantu sama sekali gojekindonesia,1
198,langsung cashback mon,1
199,kayak engga wan pernah order ciwalk ngga tau kan banyak banget driver yg udah kelar nganter mayan banyak yg nunggu order tp tiap order situ aku ga pernah dapet yg deket situ tuju banget grab lebih oke hal,1
200,gojekindonesia jalan misi sesuai suruh belum jugakya vocher gojek kesel,1
201,kayak memang banyak dek bikin kesalahpahaman customer sama driver padahal ga niat susah,1
202,gojekindonesia haloo min akun gojek ke banned nih jd gk order go food nih solusi gimana min udah kemaren mention tp di respon makasih mimin,1
203,gofigure by gojekindonesia sharing handry by handryge they re inspiring share the real story history lesson learned,1
204,gojekindonesia maap mau tanya sy kan driver bru daerah http tangerang sy blm atribut klo mo ambil di alsut hrus senayan trims,1
205,balik kos sangu dr bapak sangu dr grabid gojekindonesia pic twitter com eeaydpwxes,1
206,gojekindonesia akun kok gak d knpa sya habis ganti hp mau mindah akun gojek sya eh malah gin pic twitter com fhmmyhjxi,1
207,gojekindonesia di cirebon bisa order go massage,1
208,bapa ojol aku pas dateng senyum ramah yaampun bapak maaf banget pak tadi gak teliti ngecek pin dulu pas mau sen iya nduk gapapa yaampun pak maaf loh pak iyaa wes ndhuk gapapa gapapa thx gojekjam gojekindonesia pic twitter com veoolxe,1
209,gojekindonesia go ride nya brp x y udh x go ride blum capa pic twitter com bpswnrmsg,1
210,maaf gan telusur nyata blm ketemu jg gojekindonesia aktif atau akun driver sebut jangan jadi bangsat hadap anak bangsa indonesia lambat sama tidak tolol jangan pelihara https twitter com andi albarn status,1
211,maaf gan telusur nyata blm ketemu jg gojekindonesia aktif atau akun driver sebut jangan jadi bangsat hadap anak bangsa indonesia lambat sama tidak tolol jangan pelihara,1
212,hai sani di informasi nomor tlp email lalu dm terima kasih yni,1
213,pagi gojekindonesia ingin lihat historical transaction tanggal agustus sempet terscreenshoot aplikasi hilang cek email struk transaksi kol email mohon bantu thanks,1
214,gojekindonesia mohon konsumen beku akun y pagi maen cancel akibat performa turun opik bangsat pic twitter com qahkdxvfs,1
215,gojekindonesia seperti cari uang halal tp kadang tumpang enak aja kasih bintang kommen yg ujung bisa suspend mitra pak jokowi kami butuh kerja layak pic twitter com zyitfkuya,1
216,please do your magic gojekindonesia uusbiasaaja falla adinda kumpar antaranews detikcom cnnindonesia okezonenews radenrauf aulmaulidiana https twitter com yuniarayutyas status,1
217,gu kartu main twitter hp android pergi naik gojekindonesia or grabid,1
218,ku dm yah buru ka sy laper mau gofood,1
219,gojekindonesia halo min td pagi jam baru tuntas misi gofood kenapa rewardnya gak dapet,1
220,logo baru insentif buat mitra driver kok ikut baru kok selalu pangkas gojek rugi kalah saing,1
221,gojekindonesia min sy mau bayar paylater tp ko halaman pay laternya ga ya,1
222,gojek donggg buat indonesia banyak promo diskon nga tau nyaman aja pakai gojek gojekindonesia,1
223,bahagia ketika dapet notif chat doi dapet notif voucher diskon gojekindonesia pic twitter com kykrmrl,1
224,manjain kejombloan ah order makan lewat gojekindonesia misal,1
225,makasih indaahhh bantu tag gojekindonesia askmenfess tubbirfess awkarin semuanyaaaaaa jugaaaa,1
226,gojekindonesia pagi min mau complain malam waktu gopay payday beli kopi kopi janji jiwa gading festival cashback sampai sekarang cashbacknya masuk gimana pic twitter com dmebvghfmk,1
227,gojekindonesia hi admin mo nanya voucher k dapet yg bayar k doang ya kalo dipake cuma kena disc k min order udah k,1
228,hai fan sila buka menu orders kemudian pilih nomor orders sila ikan rating sesuai layan anda terima kasih yun,1
229,hai wulan info lebih lanjut kena paylater sila kirim email support findaya com terima kasih yun,1
230,gojekindonesia mau kasih bapak bintang halaman raringnya malah close gimana dong pic twitter com xzkpcmxjw,1
231,gojekindonesia min mau tanya kalau naik gocar terus masuk tol bayar tol bayar lewat gopay maksud total bayar harga jalan biaya tol,1
232,gojekindonesia pagi min mau tanya account gojek knp block padahal sekalipun blm pernah pakai layan gmn mau pakai lah block dr awal bikin accountnya,1
233,hai sila kirim email csgolife gojek com untuk info lebih lanjut terima kasih yun,1
234,gojekindonesia moga cepettt ketemu mbak,1
235,gojekindonesia ada lowong go ride solo ga yaa,1
236,gojekindonesia https twitter com yuniarayutyas status,1
237,cc gojekindonesia mgkin bs bantu bro attahalilintar temu bapak,1
238,gojekindonesia,1
239,gojekindonesia iniii karyawannya,1
240,gojekindonesia kalo nge gosend yg nerima paket salah gt gmn,1
241,gojekindonesia beli hape baru mau jadi driver mohon supportnya,1
242,gojekindonesia maaf min mau nanya bener nomor gojek,1
243,sen makan pake gofood ngojek pake grab bike adil kan gojekindonesia grabid,1
244,gojekindonesia jdid knapa ga cashback apakah kuota krn baru x trx pic twitter com klpvng,1
245,gojekindonesia min akun tidak guna goride bantu,1
246,gojekindonesia gojektech,1
247,mungkin gofoodindonesia gojekindonesia pikir kalau udah punya hubung emosional sama customernya lebih deket siapa,1
248,gojekindonesia ga opsi pake authenticator apps buat fa,1
249,gojekindonesia min akun gojek kok bisa masuk,1
250,gojekindonesia gojekjam,1
251,hai dapat ditindaklanjuti mohon informasi nomor telepon yang daftar alas untuk hapus akun gojek lalu dm tks fzy,1
252,sama yg kata menang hadiah gopay gojekindonesia sekian juta saldo gopay juga ludes lalu bagaimana dgn respon gojek dgn marak tipu ini juga solusi sudah rugi banyak sekali semua saldo saya bisa tidak,1
253,gojekindonesia gojekjam,1
254,gojekindonesia halooo min tunggu konfirmasi nominal topup cukup banyak loo mention dm ada respon semua,1
255,gojekindonesia selamat pagi min kok fitur gopaylater dadak ada min mhn jelas nya pic twitter com vbwoejec,1
256,gojekindonesia ingin nonaktif email yang kait dg akun gojek gmail fuad rosyadi gmail com,1
257,gojekindonesia assalamualaikum tadi baru laku isi gopay cuman isi no di isi no tulis isi no saldo saya bisa dikembalika,1
258,gojekindonesia,1
259,gojekindonesia gojekjam,1
260,gakuat liat bapanyaaa moga ganti dapat yg lbh paa aamiin gojekindonesia,1
261,pakai grabid gojekindonesia tinggal mana yg ke rumah duluan cuma berani juang yg dapetin,1
262,cc gojekindonesia lo ngertiin apa imbang biar armada mu tenang tekan https twitter com go jagijug status,1
263,gojekindonesia min kalo pernah dapet jaket gojek minta jaket yg baru ga,1
264,gojekindonesia berapa lama daftar merchant gofood proses hampir minggu ada balas email rekan dr merchant telah hari dapat email balas dr gofood,1
265,gojekindonesia ngeselin banget udah lanjur diupdate pic twitter com ycsqjkeeai,1
266,om gojekindonesia kue kering ijo ada ga go food,1
267,gue akun goride malah dpetnya gosend terus dr siang ampe malem asal laris gosend terus aja dh tuh ampe malem kasih send terus,1
268,gojekindonesia hi gojek you should be proud of his dedication,1
269,gojekindonesia kalo cyber jek nih sempat buat lu cari nama https twitter com lambe ojol status,1
270,gojekindonesia,1
271,gojekindonesia,1
272,suwun banget kangge mas dwi driver gojek magelang jogja sudah ikhlas dorong motor jauh gojekindonesia infocegatanjgja pic twitter com twniirttp,1
273,gojekindonesia https twitter com annisawdya status,1
274,gojekindonesia gojektech https twitter com yuniarayutyas status,1
275,gojekindonesia grabid,1
276,thankyou bil motivasi kalo kata gojekindonesia pastiadajalan,1
277,gojekindonesia gojektech gojekjam infodepok,1
278,kurang apa aku abang gofood gojekindonesia ku rela ngampet pup tengah jam berat loh pak lebih berat tahan api cemburu,1
279,hi gojekindonesia di bantu,1
280,gojekindonesia min mau tanya kan gopay later baru pake bulan kenapa kena cas nya rb padahal asa kemarin liat tulis fee admin buat bulan pertama,1
281,ga d ksh akun jd driver goride si yaa gojekindonesia,1
282,jawabane aplikator ah gampang golek mitra driver teh sing butuh kerja okeh golek konsumen sing angel yo ora grabid gojekindonesia,1
283,semua kbutuhan rumah tangga ada tangan gojekindonesia masuk blanja n pijet sisa tinggal check outin keranjang syopi,1
284,gojekindonesia gojekindonesia gojekindonesia dramagojek polresjakbar polresjakpus tmcpoldametro,1
285,kaku beud si respon nya santuy aja kelus kya admin grabid gojekindonesia,1
286,bapak adi ngefans sekali sama apresiasi dong gojekindonesia pic twitter com dxrjwqf,1
287,gojekindonesia ayo responnya kasi mba nya,1
288,eh gimana gimana makin ga makan aja kampus uang nya cuma buat ongkos moga engga naik harga kalian sahabat setia yg tani kampus tiap hari grabid gojekindonesia https twitter com kumpar status,1
289,untung gojekindonesia mbak ktchenette yg simpan charger aq uwuwuwu,1
290,gojekindonesia,1
291,gojekindonesia ken kaya rich brian ditanyain mau makan apa terus dikirimin makan deh,1
292,jek gojekindonesia https twitter com fajarnugros status,1
293,gojekindonesia dong driver nya edukasi nunggu lama tanggap nya begini pic twitter com feasodys,1
294,gojekindonesia hai ko upgrade akun aku gabisa yaa udah upgrade lama solusi dong makasih,1
295,gojekindonesia itu harga makan gofood update terlalu sering beda harga tera harga yg tagih gimana sih,1
296,terima kasih abang gojek gojekindonesia maaf malemmalem ngeorder gofood bm terus promoan pic twitter com yisgvsfu,1
297,oyy jan diem aje luu gojekindonesia ccicpolri infodishub walkotdepok sapa tau saing mau bantu grabid kaka baik psi id jan lupaa kaesangp chilli pari jokowi awkarin,1
298,gojekindonesia assalamualaikum wr wb maaf mau tanya ya akun gojek ngak pakai tulis ngak guna padahal mau pakai buat goofood ini udah lama ngak hampir tahun ini akun nama febr,1
299,cinta banget dah ama gojekindonesia cuman bayar ribu udah dapet voucher nila k makin setia pake gojek woyyy pic twitter com hsxvsmgbx,1
300,gojekindonesia,1
301,gojekindonesia,1
302,gojekindonesia assalamualaikum saya tanya tanya,1
303,bantu saudara izin tag gojekindonesia gojektech gojekjam azabkuburpedih awkarin,1
304,order fiktif bawa aja barang pesan kantor gojekindonesia terus ceritain kronologi sampe semua order cancel by system gojek,1
305,min gojekindonesia mohon respon dm thanks,1
306,gojekindonesia,1
307,halooo admin gojekindonesia minta dong tanya dari tadi dibales klo ga jawab lewat dm gituuu biar beri jawab pasti,1
308,gojekindonesia tmcpoldametro https twitter com annisawdya status,1
309,gojekindonesia gojekindonesia gojekindonesia,1
310,gojekindonesia mohon bantu nya dong min kemarin mau sen gobox gabisa terus nih tiap pencet location tiba malah keluar terus aplikasi ya min,1
311,moga cepat ketemu dgn aman selamat aamiin gojekindonesia gojektech info depok polresta depok,1
312,gojekindonesia kokk tagih jadi deeeh yang paylater rb apaya pic twitter com wpgulpad,1
313,gak hasil dapet cashback gimana nih gojekindonesia webtoon pic twitter com jyimnvgv,1
314,gojekindonesia malam min mau complain sudah selesai misi oleh gofood voucher k kok gak dapet gofood vouchernya rewards ya min mau dm gak sedia min akun twitter gojek,1
315,gojekindonesia gmnsi mimin gojek org nanya kok mlh diabaikann terus prtnyaan sy hilang bgtu aja apa nih sma gojek,1
316,gojekindonesia gojektech gojekjam,1
317,duaaar gw nya yg ditampol babang gojekindonesia dong send bandung dr jkt,1
318,per september bonus pangkas hampir paruh miskin kita gojekindonesia,1
319,gojekindonesia bantu perihal lacak driver go send satu jam tengah paket bom sampe,1
320,halo gojekindonesia sy iri cuman promo gored,1
